id_commande,id_client,id_produit,date_commande,quantite,prix_unitaire,statut,ville_livraison,mode_paiement,id_livreur,date_livraison
CMD554097,C01332,P020,Jan 31 2024,1,4514.66,livre,SLA,CMI,L048,2024-02-02
CMD314339,C00797,P034,Aug 11 2024,3,5944.49,annulé,sale ,CMI,L022,2024-08-14
CMD349764,C01733,P009,2024-03-12,4,11062.35,KO,Tanger Ville,CMI,L043,2024-03-14
CMD611564,C01327,P023,Dec 09 2024,3,11279.06,retourné,Rabat Ville,Virement,L039,2024-12-14
CMD416170,C01573,P045,Feb 27 2024,4,10728.3,retourne,fes,PayPal,L021,2024-03-02
CMD613340,C01213,P010,2025-01-12,1,11570.44,livré,settat,Carte bancaire,L032,2025-01-16
CMD557297,C01954,P031,15/02/2024,4,3219.2,livré,Al Hoceima,Carte bancaire,L001,2024-02-22
CMD750252,C01208,P040,Mar 23 2024,3,1585.76,DONE,kenitra ,PayPal,,2024-03-26
CMD677571,C00303,P013,2024-11-07,1,7763.56,livré,HOC,Carte bancaire,L021,2024-11-10
CMD761360,C02236,P003,Jun 20 2024,5,3491.99,annulé,Casablanca,Carte bancaire,,2024-06-25
CMD341318,C00985,P037,Jan 15 2025,4,4068.88,livre,Oujda,Paiement a la livraison,L033,2025-01-18
CMD728090,C01689,P014,12/03/2024,4,1500.77,OK,sale ,PayPal,L013,2024-03-18
CMD453435,C00744,P030,Apr 13 2024,3,9140.78,livre,settat ,PayPal,L019,2024-04-16
CMD381940,C01867,P012,2024-01-03,3,5835.75,DONE,Settat Ville,PayPal,,2024-01-08
CMD169560,C00162,P032,Jan 11 2025,3,5031.86,annulé,tiznit ,Paiement a la livraison,L017,2025-01-12
CMD909436,C01560,P003,2024-06-15,5,11391.12,KO,Sale Ville,Virement,L027,2024-06-20
CMD317556,C00986,P012,19/02/2025,1,2924.04,en_cours,rabat,PayPal,L040,2025-02-26
CMD266288,C01254,P009,10/02/2025,5,4261.69,OK,tng,Virement,L041,2025-02-16
CMD102821,C00448,P028,Jun 13 2024,3,7176.36,LIVRE,fes ,Virement,L011,2024-06-19
CMD545585,C00825,P026,2024-08-27,3,7328.39,OK,Tetouan Ville,Paiement a la livraison,L041,2024-09-02
CMD910069,C01977,P018,Apr 13 2024,3,599.86,LIVRE,AGD,Carte bancaire,L024,2024-04-15
CMD185984,C01800,P031,2025-03-26,2,6927.79,livre,KEN,Paiement a la livraison,L006,2025-03-27
CMD899225,C01558,P035,01/02/2024,5,7297.0,livré,Marrakech,PayPal,L028,2024-02-04
CMD816446,C00676,P035,2025-01-12,3,4621.06,livre,Tiznit,Paiement a la livraison,L028,2025-01-13
CMD635631,C00260,P048,2024-02-05,3,4546.41,annulé,safi ,Paiement a la livraison,L014,2024-02-06
CMD764790,C00680,P033,2024-08-07,3,7813.02,en_cours,al hoceima,Virement,L017,2024-08-13
CMD322574,C01055,P011,2024-11-27,4,823.76,livré,rabat ,PayPal,L050,2024-11-30
CMD140400,C01330,P005,Feb 10 2025,1,4064.78,livré,Tiznit,Carte bancaire,L010,2025-02-14
CMD657243,C00183,P010,2024-04-27,3,6260.38,retourné,Kenitra,Virement,L034,2024-05-03
CMD576404,C02000,P012,28/02/2024,4,1549.0,KO,Tnja,Paiement a la livraison,L039,2024-03-06
CMD601599,C00203,P016,30/12/2024,4,5323.26,en_cours,SETT,Carte bancaire,L038,2025-01-05
CMD357855,C02000,P016,Feb 14 2024,2,5266.76,livre,kenitra ,CMI,L014,2024-02-21
CMD911148,C01243,P021,2024-07-10,5,10800.8,en_cours,Tiznit,CMI,L016,2024-07-13
CMD331931,C01644,P024,06/03/2024,5,7641.32,OK,Nador Ville,Maroc Pay,,2024-03-11
CMD287570,C00443,P012,Feb 29 2024,1,2689.56,en_cours,AGD,Paiement a la livraison,L003,2024-03-05
CMD626426,C00180,P010,Aug 26 2024,5,5012.58,DONE,al hoceima ,Paiement a la livraison,L047,2024-08-31
CMD492375,C01882,P029,Nov 10 2024,3,6013.78,KO,Agadir,Virement,L048,2024-11-17
CMD730788,C01499,P040,Sep 05 2024,5,4361.82,LIVRE,SAFI,Virement,L038,2024-09-11
CMD698091,C02011,P022,Mar 13 2024,4,6031.09,retourne,RBT,CMI,L011,2024-03-19
CMD499160,C01977,P001,Mar 17 2025,4,9751.54,DONE,OUJ,Virement,L044,2025-03-24
CMD352198,C01884,P009,2024-09-20,3,9380.73,retourne,RBT,Virement,L025,2024-09-25
CMD935467,C01694,P047,Jan 11 2024,3,1333.96,LIVRE,kenitra,PayPal,L026,2024-01-17
CMD777940,C00632,P037,2024-04-26,1,7326.0,livre,Kenitra Ville,Maroc Pay,L016,2024-05-02
CMD553113,C01663,P019,09/02/2025,3,324.18,livré,Rabat,Paiement a la livraison,L038,2025-02-15
CMD238116,C01099,P013,2024-04-15,5,11842.72,annule,TIZ,Maroc Pay,L043,2024-04-16
CMD579916,C01112,P005,Feb 07 2024,2,3133.05,livré,Marrakech,Virement,L015,2024-02-13
CMD763031,C00551,P002,Aug 24 2024,1,6190.32,livré,Casablanca,Virement,L043,2024-08-25
CMD728108,C00538,P040,Jun 04 2024,1,2697.29,DONE,tiznit ,PayPal,L031,2024-06-08
CMD282980,C02171,P040,15/02/2024,3,7241.1,KO,Safi,Maroc Pay,L045,2024-02-17
CMD200078,C01458,P020,06/02/2024,1,10838.48,livré,kenitra ,Carte bancaire,L022,2024-02-11
CMD798481,C00686,P039,28/11/2024,3,8201.78,livré,sale ,Paiement a la livraison,L017,2024-11-29
CMD829440,C00672,P017,2025-02-21,4,11876.45,en_cours,Kenitra Ville,PayPal,L047,2025-02-23
CMD984029,C00606,P030,13/04/2024,2,6321.64,livré,Al Hoceima,Virement,L007,2024-04-19
CMD783901,C01072,P018,Oct 27 2024,2,9242.9,livré,sale,Carte bancaire,L042,2024-11-03
CMD451362,C01692,P044,Apr 23 2024,4,9305.97,livré,sale ,Virement,L012,2024-04-27
CMD422909,C00652,P033,2024-03-25,4,11796.14,retourné,Marrakech Medina,CMI,L016,2024-03-28
CMD501945,C02119,P024,2024-09-22,4,2014.42,livré,casa blanca,Maroc Pay,L042,2024-09-28
CMD455843,C00898,P043,Dec 03 2024,5,8129.78,livré,tetouan,Carte bancaire,L021,2024-12-05
CMD612957,C01842,P018,2024-01-21,3,9003.42,annulé,tiznit ,Virement,L048,2024-01-25
CMD186512,C02068,P028,Apr 05 2024,3,4101.68,annulé,Oujda Ville,Carte bancaire,L032,2024-04-07
CMD158194,C01989,P043,May 05 2024,2,8832.23,DONE,Tetouan,CMI,L009,2024-05-09
CMD129875,C02060,P034,21/09/2024,5,1356.44,DONE,TIZ,Carte bancaire,L010,2024-09-26
CMD196399,C01237,P022,24/07/2024,4,3202.88,KO,al hoceima ,Paiement a la livraison,L050,2024-07-25
CMD178522,C00070,P047,11/05/2024,4,8650.04,retourné,Tiznit,Carte bancaire,L042,2024-05-18
CMD117270,C00666,P009,12/07/2024,5,3389.69,OK,Casa ,Paiement a la livraison,,2024-07-13
CMD767204,C01993,P035,24/06/2024,4,2052.99,DONE,Tiznit Ville,Virement,L029,2024-06-27
CMD115659,C01490,P005,Mar 02 2025,3,338.11,en_cours,casa blanca,CMI,L033,2025-03-09
CMD834302,C01122,P001,2024-05-01,2,3495.71,livré,tiznit ,PayPal,L016,2024-05-07
CMD757668,C00866,P023,2024-01-16,3,447.57,annule,Oujda,Paiement a la livraison,L005,2024-01-22
CMD526217,C01435,P013,11/06/2024,4,3335.14,KO,Tiznit Ville,Maroc Pay,L029,2024-06-15
CMD864711,C00530,P036,Jul 26 2024,4,11595.54,en_cours,Marrakesh,Carte bancaire,L046,2024-07-31
CMD258485,C01909,P036,31/05/2024,5,10975.39,KO,oujda,PayPal,L029,2024-06-04
